obrazek,podle,corrans,zpetnavazba,pauza,opakovani
AnE3D1rWb.png,vy,left,0,0,3
AE2D1lRb.png,vy,left,0,0,3
AnE3D2rWa.png,vy,right,0,0,3
AE2D1lWa.png,vy,left,0,0,3
AnE3D1lWb.png,vy,right,0,0,3
AE2D1rRa.png,vy,right,0,0,3
AnE3D1lRa.png,znacka,right,0,1,3
AE2D2rWa.png,znacka,right,0,0,3
AE2D2lWb.png,znacka,left,0,0,3
AnE3D2rWb.png,znacka,right,0,0,3
AnE3D2rWa.png,znacka,left,0,0,3
AE2D1lRa.png,znacka,left,0,0,3
AnE3D1lWb.png,znacka,left,0,0,3
AnE3D1lRb.png,znacka,left,0,0,3
AE2D2lRa.png,znacka,left,0,0,3
AE2D1rRb.png,znacka,right,0,0,3
AE2D1lRb.png,znacka,left,0,0,3
AnE3D1rRb.png,znacka,right,0,0,3
AnE3D2lWa.png,znacka,right,0,0,3
AnE3D2rRa.png,znacka,left,0,0,3
AE2D2lRb.png,znacka,left,0,0,3
AE2D1rWa.png,znacka,right,0,0,3
AnE3D2rRa.png,cervena,right,0,1,3
AnE3D1rWa.png,cervena,left,0,0,3
AnE3D2lRa.png,cervena,left,0,0,3
AE2D2lRb.png,cervena,right,0,0,3
AE2D2rRa.png,cervena,left,0,0,3
AnE3D1lWb.png,cervena,left,0,0,3
AE2D2lWb.png,cervena,left,0,0,3
AnE3D2rWb.png,cervena,right,0,0,3
AnE3D1rRb.png,cervena,left,0,0,3
AE2D2lRa.png,cervena,right,0,0,3
AnE3D2rWa.png,cervena,left,0,0,3
AnE3D1lRa.png,cervena,left,0,0,3
AE2D1rWa.png,cervena,right,0,0,3
AnE3D2lWa.png,cervena,right,0,0,3
AE2D2rWb.png,cervena,right,0,0,3
AE2D2rWa.png,cervena,right,0,0,3
AnE3D2lRb.png,vy,right,0,1,4
AnE3D1lRb.png,vy,right,0,0,4
AnE3D2rRa.png,vy,right,0,0,4
AnE3D1rWa.png,vy,right,0,0,4
