cisloobrazku,obrazek,kategorie,subkategorie1,subkategorie2,voda,corrans,pauza,Blok,blokkonec
16,F_EMWfemale27-4neutral.jpg,faces,young,female,0,0,0,117,0
205,Ofv_broccoli01a.jpg,fruit_vegetables,vegetable,x,0,1,0,117,0
179,O_shovel02a.jpg,objects,nastroj,x,0,0,0,117,0
57,F_TSFWfemale68-2neutral.jpg,faces,old,female,0,0,0,117,1
151,O_knife01.jpg,objects,kuchyn,x,0,0,1,118,0
25,F_EMWmale20-2neutral.jpg,faces,young,male,0,0,0,118,0
27,F_EMWmale21-3neutral.jpg,faces,young,male,0,0,0,118,0
196,O_wateringcan.jpg,objects,nastroj,x,0,0,0,118,0
288,S_Nature_kanon.jpg,scenes,nature,hory-voda,1,0,0,118,1
243,S_Artificial_koloseum.jpg,scenes,artificial,kulturni pamatka,0,0,1,119,0
275,S_Artificial_zamek-zahrada5X.jpg,scenes,artificial,kulturni pamatka,0,0,0,119,0
129,O_cooler.jpg,objects,kuchyn,x,0,0,0,119,0
73,F_TSFWmale67-2neutral.jpg,faces,old,male,0,0,0,119,0
274,S_Artificial_zamek-zahrada4X.jpg,scenes,artificial,kulturni pamatka,0,0,0,119,1
37,F_EMWmale52neutral.jpg,faces,old,male,0,0,1,120,0
212,Ofv_cherries.jpg,fruit_vegetables,fruit,x,0,1,0,120,0
131,O_drill01b.jpg,objects,nastroj,x,0,0,0,120,0
262,S_Artificial_panelaky.jpg,scenes,artificial,budova,0,0,0,120,0
19,F_EMWfemale30neutral.jpg,faces,young,female,0,0,0,120,1
285,S_Nature_jezero8.jpg,scenes,nature,hory-voda,1,0,1,121,0
114,O_bowl01.jpg,objects,kuchyn,x,0,0,0,121,0
120,O_candle08b.jpg,objects,jine,x,0,0,0,121,0
221,Ofv_pineapple01a.jpg,fruit_vegetables,fruit,x,0,1,0,121,0
252,S_Artificial_kupola2.jpg,scenes,artificial,chram,0,0,0,121,1
239,S_Artificial_elektrarna2.jpg,scenes,artificial,funkcni stavba,1,0,1,122,0
82,F_TSFWmale75-2neutral.jpg,faces,old,male,0,0,0,122,0
290,S_Nature_kanon3.jpg,scenes,nature,hory-voda,1,0,0,122,0
12,F_EMWfemale22neutral.jpg,faces,young,female,0,0,0,122,0
26,F_EMWmale20neutral.jpg,faces,young,male,0,0,0,122,1
302,S_Nature_pobrezi5.jpg,scenes,nature,hory-voda,1,0,1,123,0
246,S_Artificial_kominy4.jpg,scenes,artificial,funkcni stavba,1,0,0,123,0
268,S_Artificial_zamek-jezero5X.jpg,scenes,artificial,kulturni pamatka,1,0,0,123,0
136,O_flashlight02b.jpg,objects,elektronika,x,0,0,0,123,0
134,O_fan.jpg,objects,elektronika,x,0,0,0,123,1
104,O_battery02b.jpg,objects,elektronika,x,0,0,1,124,0
213,Ofv_leek.jpg,fruit_vegetables,vegetable,x,0,1,0,124,0
30,F_EMWmale22neutral.jpg,faces,young,male,0,0,0,124,0
138,O_fork03c.jpg,objects,kuchyn,x,0,0,0,124,0
314,S_Nature_skala12.jpg,scenes,nature,hory,0,0,0,124,1
182,O_strainer01b.jpg,objects,kuchyn,x,0,0,1,125,0
148,O_highheelshoe01.jpg,objects,obleceni,x,0,0,0,125,0
127,O_compactpowder.jpg,objects,jine,x,0,0,0,125,0
71,F_TSFWmale63neutral.jpg,faces,old,male,0,0,0,125,0
122,O_cap01a.jpg,objects,obleceni,x,0,0,0,125,1
246,S_Artificial_kominy4.jpg,scenes,artificial,funkcni stavba,1,0,1,126,0
302,S_Nature_pobrezi5.jpg,scenes,nature,hory-voda,1,0,0,126,0
105,O_beermug01a.jpg,objects,kuchyn,x,0,0,0,126,0
136,O_flashlight02b.jpg,objects,elektronika,x,0,0,0,126,0
107,O_bikehelmet.jpg,objects,obleceni,x,0,0,0,126,1
213,Ofv_leek.jpg,fruit_vegetables,vegetable,x,0,1,1,127,0
145,O_handfan01b.jpg,objects,jine,x,0,0,0,127,0
162,O_mixer01d.jpg,objects,elektronika,x,0,0,0,127,0
43,F_TSFWfemale54neutral.jpg,faces,old,female,0,0,0,127,0
291,S_Nature_kanon4.jpg,scenes,nature,hory-voda,1,0,0,127,1
127,O_compactpowder.jpg,objects,jine,x,0,0,1,128,0
288,S_Nature_kanon.jpg,scenes,nature,hory-voda,1,0,0,128,0
201,Ofv_apple07.jpg,fruit_vegetables,fruit,x,0,1,0,128,0
49,F_TSFWfemale64neutral.jpg,faces,old,female,0,0,0,128,0
6,F_EMWfemale21-2neutral.jpg,faces,young,female,0,0,0,128,1
252,S_Artificial_kupola2.jpg,scenes,artificial,chram,0,0,1,129,0
229,S_Artificial_budova5.jpg,scenes,artificial,budova,0,0,0,129,0
10,F_EMWfemale22-3neutral.jpg,faces,young,female,0,0,0,129,0
262,S_Artificial_panelaky.jpg,scenes,artificial,budova,0,0,0,129,0
272,S_Artificial_zamek-zahrada.jpg,scenes,artificial,kulturni pamatka,0,0,0,129,1
96,F_WWmale20-1neutral.jpg,faces,young,male,0,0,1,130,0
305,S_Nature_pobrezi8.jpg,scenes,nature,hory-voda,1,0,0,130,0
307,S_Nature_reka2.jpg,scenes,nature,hory-voda,1,0,0,130,0
222,Ofv_potato02b.jpg,fruit_vegetables,vegetable,x,0,1,0,130,0
255,S_Artificial_majak3.jpg,scenes,artificial,funkcni stavba,1,0,0,130,1
