cisloobrazku,obrazek,kategorie,subkategorie1,subkategorie2,voda,corrans,pauza,Blok,blokkonec
293,S_Nature_kanon6.jpg,scenes,nature,hory,0,0,0,63,0
4,F_EMWfemale20-2neutral.jpg,faces,young,female,0,0,0,63,1
187,O_thermometer02b.jpg,objects,x,x,0,0,1,64,0
49,F_TSFWfemale64neutral.jpg,faces,old,female,0,0,0,64,0
196,O_wateringcan.jpg,objects,nastroj,x,0,0,0,64,0
10,F_EMWfemale22-3neutral.jpg,faces,young,female,0,0,0,64,0
133,O_electricrazor.jpg,objects,elektronika,x,0,0,0,64,1
238,S_Artificial_elektrarna.jpg,scenes,artificial,funkcni stavba,1,0,1,65,0
263,S_Artificial_zamek8.jpg,scenes,artificial,kulturni pamatka,1,0,0,65,0
278,S_Nature_hora.jpg,scenes,nature,hory,0,0,0,65,0
97,F_WWmale21-4neutral.jpg,faces,young,male,0,0,0,65,0
57,F_TSFWfemale68-2neutral.jpg,faces,old,female,0,0,0,65,1
209,Ofv_garlic01a.jpg,fruit_vegetables,vegetable,x,0,1,1,66,0
89,F_TSFWmale79neutral.jpg,faces,old,male,0,0,0,66,0
276,S_Nature_duny.jpg,scenes,nature,poust-pole,0,0,0,66,0
51,F_TSFWfemale65-7neutral.jpg,faces,old,female,0,0,0,66,0
295,S_Nature_ostrov2.jpg,scenes,nature,hory-voda,1,0,0,66,1
